City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tralee,52.2704,-9.7026,10.3,94,94,1.28,IE,1749263573
1,bamboo flat,11.7,92.7167,30.05,79,40,0.51,IN,1749263575
2,olonkinbyen,70.9221,-8.7187,1.39,98,100,5.01,SJ,1749263127
3,puerto natales,-51.7236,-72.4875,6.69,94,100,1.26,CL,1749263404
4,carnarvon,-24.8667,113.6333,23.48,35,0,7.0,AU,1749263578
5,nova vicosa,-17.8919,-39.3719,22.07,88,9,3.45,BR,1749263282
6,grytviken,-54.2811,-36.5092,0.38,99,100,2.82,GS,1749263580
7,invercargill,-46.4,168.35,5.57,78,98,2.68,NZ,1749263581
8,nova sintra,14.8667,-24.7167,23.28,84,3,5.44,CV,1749263583
9,ta`u,-14.2336,-169.5144,27.34,75,34,4.02,AS,1749263121
10,atafu village,-8.5421,-172.5159,27.92,79,100,5.45,TK,1749263585
11,waitangi,-43.9535,-176.5597,11.39,85,95,18.48,NZ,1749263586
12,yellowknife,62.456,-114.3525,11.29,71,75,8.23,CA,1749263422
13,tchintabaraden,15.8969,5.7985,28.97,37,36,3.66,NE,1749263589
14,port alfred,-33.5906,26.891,17.22,52,49,3.98,ZA,1749263304
15,punta arenas,-53.15,-70.9167,7.06,93,75,7.2,CL,1749263530
16,cabo san lucas,22.8909,-109.9124,32.17,30,0,4.63,MX,1749263592
17,kamaishi,39.2667,141.8833,23.96,55,56,5.57,JP,1749263593
18,kenai,60.5544,-151.2583,13.9,54,0,4.12,US,1749263594
19,tabou,4.423,-7.3528,25.17,89,98,3.03,CI,1749263596
20,edinburgh of the seven seas,-37.0676,-12.3116,14.36,84,100,13.0,SH,1749263597
21,prado,-17.3411,-39.2208,21.76,93,36,2.94,BR,1749263525
22,polyarnyy,69.1989,33.4478,12.73,69,100,3.67,RU,1749263599
23,papatowai,-46.5619,169.4708,5.75,73,97,4.5,NZ,1749263600
24,port-aux-francais,-49.35,70.2167,3.03,62,100,9.19,TF,1749263601
25,blackmans bay,-43.0167,147.3167,11.07,65,20,5.75,AU,1749263603
26,saint-joseph,-21.3667,55.6167,21.21,79,28,6.1,RE,1749263604
27,ust-nera,64.5667,143.2,20.04,44,98,2.39,RU,1749263605
28,iqaluit,63.7506,-68.5145,0.85,93,100,1.54,CA,1749263422
29,mukalla,14.5425,49.1242,28.44,67,40,1.97,YE,1749263607
30,piton saint-leu,-21.2196,55.3151,20.06,73,0,6.69,RE,1749263400
31,andorra,42.5,1.5,16.78,82,2,0.32,AD,1749263611
32,west island,-12.1568,96.8225,26.99,94,75,6.69,CC,1749263612
